player,position,link,total_gp,total_g,total_a,total_tp,total_ppg,total_pim,total_pm,nhle_g,nhle_a,nhle_tp,nhle_ppg,legacy_veteran,new_veteran,non_vet_ufa,league,call_up_send_down,active
Hampus Eriksson,C/W,/player/118779/hampus-eriksson,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Rhett Gardner,C,/player/119371/rhett-gardner,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Haydn Fleury,D,/player/119392/haydn-fleury,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Miska Siikonen,C,/player/119729/miska-siikonen,1,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Jaakko Lantta,C,/player/119730/jaakko-lantta,2,0,0,0,0.0,2,-2,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Jake Virtanen,RW/LW,/player/120197/jake-virtanen,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Reid Gardiner,RW,/player/120199/reid-gardiner,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Joe Hicketts,D,/player/120210/joe-hicketts,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
Tyson Empey,C/LW,/player/120233/tyson-empey,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
Ryan Gagnon,D,/player/120637/ryan-gagnon,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,echl,—,False
Dysin Mayo,D,/player/120638/dysin-mayo,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
Sam Ruopp,D,/player/120650/sam-ruopp,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Travis Sanheim,D,/player/120938/travis-sanheim,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Brandon Carlo,D,/player/120965/brandon-carlo,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Jérôme Bachofner,LW,/player/121121/jerome-bachofner,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Matt Caito,D,/player/121842/matt-caito,1,0,0,0,0.0,0,-2,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Sam Anas,RW,/player/121857/sam-anas,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Alex Iafallo,LW/C,/player/121859/alex-iafallo,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Austin Ortega,RW/LW,/player/121863/austin-ortega,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Jimmy Vesey,LW/RW,/player/121865/jimmy-vesey,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Brett Pesce,D,/player/121869/brett-pesce,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Michael Kapla,D,/player/121907/michael-kapla,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Dominic Toninato,C/W,/player/122004/dominic-toninato,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
Kasper Björkqvist,RW/LW,/player/122146/kasper-bjorkqvist,2,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Shayne Gostisbehere,D,/player/122787/shayne-gostisbehere,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Gemel Smith,C/W,/player/122937/gemel-smith,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Vili Saarijärvi,D,/player/122954/vili-saarijarvi,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Ilya Lyubushkin,D,/player/123109/ilya-lyubushkin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
